Category,Gender,Min_Age,Max_Age,Unit,Protein_g_day,Carbohydrate_g_day,Fiber_g_day,Water_L_day,Vit_A_ug,Vit_C_mg,Vit_D_ug,Vit_E_mg,Vit_K_ug,Thiamin_mg,Riboflavin_mg,Vit_B6_mg,Vit_B12_ug,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Zinc_mg,Sodium_mg,Potassium_mg,Target_Calories_kcal
Infants,Both,0,0.5,Years,9.1,60,ND,0.7,400,40,10,4,2,0.2,0.3,0.1,0.4,200,0.27,30,100,2,110,400,550
Infants,Both,0.5,1,Years,11,95,ND,0.8,500,50,10,5,2.5,0.3,0.4,0.3,0.5,260,11,75,275,3,370,860,700
Children,Both,1,3,Years,13,130,19,1.3,300,15,15,6,30,0.5,0.5,0.5,0.9,700,7,80,460,3,800,2000,1000
Children,Both,4,8,Years,19,130,25,1.7,400,25,15,7,55,0.6,0.6,0.6,1.2,1000,10,130,500,5,1000,2300,1400
Males,Male,9,13,Years,34,130,31,2.4,600,45,15,11,60,0.9,0.9,1,1.8,1300,8,240,1250,8,1200,2500,1800
Males,Male,14,18,Years,52,130,38,3.3,900,75,15,15,75,1.2,1.3,1.3,2.4,1300,11,410,1250,11,1500,3000,2600
Males,Male,19,30,Years,56,130,38,3.7,900,90,15,15,120,1.2,1.3,1.3,2.4,1000,8,400,700,11,1500,3400,2600
Males,Male,31,50,Years,56,130,38,3.7,900,90,15,15,120,1.2,1.3,1.3,2.4,1000,8,420,700,11,1500,3400,2400
Males,Male,51,70,Years,56,130,30,3.7,900,90,15,15,120,1.2,1.3,1.7,2.4,1000,8,420,700,11,1300,3400,2200
Males,Male,70,120,Years,56,130,30,3.7,900,90,20,15,120,1.2,1.3,1.7,2.4,1200,8,420,700,11,1200,3400,2000
Females,Female,9,13,Years,34,130,26,2.1,600,45,15,11,60,0.9,0.9,1,1.8,1300,8,240,1250,8,1200,2300,1600
Females,Female,14,18,Years,46,130,26,2.3,700,65,15,15,75,1,1,1.2,2.4,1300,15,360,1250,9,1500,2300,2000
Females,Female,19,30,Years,46,130,25,2.7,700,75,15,15,90,1.1,1.1,1.3,2.4,1000,18,310,700,8,1500,2600,2000
Females,Female,31,50,Years,46,130,25,2.7,700,75,15,15,90,1.1,1.1,1.3,2.4,1000,18,320,700,8,1500,2600,2000
Females,Female,51,70,Years,46,130,21,2.7,700,75,15,15,90,1.1,1.1,1.5,2.4,1200,8,320,700,8,1300,2600,1800
Females,Female,70,120,Years,46,130,21,2.7,700,75,20,15,90,1.1,1.1,1.5,2.4,1200,8,320,700,8,1200,2600,1600
Pregnancy,Female,14,18,Years,71,175,28,3,750,80,15,15,75,1.4,1.4,1.9,2.6,1300,27,400,1250,12,1500,2600,2400
Pregnancy,Female,19,50,Years,71,175,28,3,770,85,15,15,90,1.4,1.4,1.9,2.6,1000,27,350,700,11,1500,2900,2400
Lactation,Female,14,18,Years,71,210,29,3.8,1200,115,15,19,75,1.4,1.6,2,2.8,1300,10,360,1250,13,1500,2500,2500
Lactation,Female,19,50,Years,71,210,29,3.8,1300,120,15,19,90,1.4,1.6,2,2.8,1000,9,310,700,12,1500,2800,2500
